abs 2.4.4-2
netstat-nat 1.4.10-3
nettle 3.3-1
nodejs 7.10.0-2
noto-fonts 20170428-1
npm 4.6.1-1
npth 1.4-1
nspr 4.14-1
nss 3.30.2-1
ntl 10.3.0-1
numactl 2.0.11-1
nvm 0.31.1-2
ocaml 4.04.1-1
oh-my-zsh-git 3876.8ac1859-1
opencore-amr 0.1.5-1
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openmpi 1.10.6-1
openresolv 3.9.0-1
openssh 7.5p1-2
openssl 1.1.0.f-1
openssl-1.0 1.0.2.l-1
openvpn 2.4.2-1
opus 1.1.5-1
orc 0.4.26+2+g249c709-1
p11-kit 0.23.5-1
package-query 1.8-1
pacman 5.0.1-5
pacman-mirrorlist 20170427-1
palp 2.1-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
pari 2.9.2-1
pari-galdata 20080411-1
pari-seadata-small 20090618-1
patch 2.7.5-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.23-1
pecl-raphf 2.0.0-1
perl 5.24.1-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
php 7.1.5-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
planarity 3.0.0.5-1
playerctl 0.5.0-2
polkit 0.113+29+g3272a98-1
polybar 3.0.4-1
popt 1.16-8
postgresql 9.6.3-1
postgresql-libs 9.6.3-1
ppl 1.2-1
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 10.0-3
pulseaudio-alsa 2-3
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
pynac 0.7.7-1
pyqt5-common 5.8.2-2
python 3.6.1-1
python-appdirs 1.4.3-1
python-beaker 1.8.1-2
python-mako 1.0.6-2
python-markupsafe 1.0-1
python-packaging 16.8-2
python-pip 9.0.1-2
python-pyparsing 2.2.0-1
python-setuptools 1:35.0.2-1
python-six 1.10.0-3
python-xdg 0.25-4
python2 2.7.13-2
python2-appdirs 1.4.3-1
python2-backports 1.0-1
python2-backports.functools_lru_cache 1.4-2
python2-backports.shutil_get_terminal_size 1.0.0-1
python2-beaker 1.8.1-2
python2-cairo 1.13.1-1
python2-cvxopt 1.1.9-2
python2-cycler 0.10.0-2
python2-cysignals 1.6.4-1
python2-dateutil 2.6.0-2
python2-decorator 4.0.11-1
python2-enum34 1.1.6-1
python2-fpylll 0.2.4dev-1
python2-future 0.16.0-2
python2-gmpy2 2.0.8-2
python2-gobject2 2.28.6-13
python2-mako 1.0.6-2
python2-markupsafe 1.0-1
python2-matplotlib 2.0.2-1
python2-mpmath 0.19-3
python2-networkx 1.11-2
python2-numpy 1.12.1-1
python2-olefile 0.43-2
python2-packaging 16.8-2
python2-pathlib 1.0.1-3
python2-pexpect 4.2.1-2
python2-pickleshare 0.7.4-3
python2-pillow 4.1.1-1
python2-prompt_toolkit 1.0.14-1
python2-psutil 5.2.2-1
python2-ptyprocess 0.5.1-2
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pyqt5 5.8.2-2
python2-pytz 2017.2-1
python2-rpy2 2.8.5-2
python2-scipy 0.19.0-1
python2-setuptools 1:35.0.2-1
python2-singledispatch 3.4.0.3-2
python2-sip 4.19.2-1
python2-six 1.10.0-3
python2-sympy 1.0-2
python2-traitlets 4.3.2-1
python2-wcwidth 0.1.7-2
qd 2.3.17-2
qt5-base 5.8.0-12
qt5-x11extras 5.8.0-1
r 3.4.0-2
rabbitmq 3.6.9-2
rabbitmqadmin 3.6.9-1
randrproto 1.5.0-1
rankwidth 0.7-1
re2 20170501-1
readline 7.0.003-1
rebar3 3.3.4-1
rebar3-zsh 3.3.4-1
recode 3.6-9
recordproto 1.14.2-2
redis 3.2.9-1
refind-efi 0.10.8-1
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-2
rfkill 0.5-2
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
rubiks 20070912-2
ruby 2.4.1-3
rust-racer 2.0.7-1
rustup 1.3.0-1
rxvt-unicode-256xresources 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.16-2
sage-data-combinatorial_designs 20140630-2
sage-data-conway_polynomials 0.5-1
sage-data-elliptic_curves 0.8-2
sage-data-graphs 20161026-1
sage-data-polytopes_db 20120220-3
sagemath 7.6-4
sbc 1.3-1
scala 2.12.2-1
scala-docs 2.12.2-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-8
sdl2 2.0.5-3
sed 4.4-1
semver 5.3.0-1
serf 1.3.9-2
shadow 4.4-3
shared-mime-info 1.8-1
singular 4.1.0.p3-2
sip 4.19.2-1
slim-git 1.3.6.4.ga33d260-2
slim-themes 1.2.3-7
slimlock-git 1.3.6.4.ga33d260-2
smbclient 4.5.10-1
snappy 1.1.4-1
socat 1.7.3.2-2
speech-dispatcher 0.8.7-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spotify 1.0.53.758-2
sqlite 3.18.0-1
sshguard 2.0.0-4
startup-notification 0.12-5
subversion 1.9.5-2
sudo 1.8.20-1
suitesparse 4.5.4-1
sympow 1.018.1-4
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
tachyon 0.98.9-3
talloc 2.1.9-1
tar 1.29-2
tcl 8.6.6-1
tdb 1.3.12-1
termite 12-2
termite-terminfo 12-2
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
tlp 1.0-1
tree 1.7.0-1
tslib 1.10-1
ttf-symbola 9.00-2
